#fixingDate,fixingId,fixingValue
2015-03-03,USD-LIBOR-6M,0.0038790000
2015-03-04,USD-LIBOR-6M,0.0039560000
2015-03-05,USD-LIBOR-6M,0.0039710000
2015-03-06,USD-LIBOR-6M,0.0039760000
2015-03-09,USD-LIBOR-6M,0.0040410000
2015-03-10,USD-LIBOR-6M,0.0040420000
2015-03-11,USD-LIBOR-6M,0.0040140000
2015-03-12,USD-LIBOR-6M,0.0040310000
2015-03-13,USD-LIBOR-6M,0.0040290000
2015-03-16,USD-LIBOR-6M,0.0040190000
2015-03-17,USD-LIBOR-6M,0.0040610000
2015-03-18,USD-LIBOR-6M,0.0040910000
2015-03-19,USD-LIBOR-6M,0.0039385000
2015-03-20,USD-LIBOR-6M,0.0039735000
2015-03-23,USD-LIBOR-6M,0.0039485000
2015-03-24,USD-LIBOR-6M,0.0039865000
2015-03-25,USD-LIBOR-6M,0.0039790000
2015-03-26,USD-LIBOR-6M,0.0040190000
2015-03-27,USD-LIBOR-6M,0.0040490000
2015-03-30,USD-LIBOR-6M,0.0040265000
2015-03-31,USD-LIBOR-6M,0.0040065000
2015-04-01,USD-LIBOR-6M,0.0040340000
2015-04-02,USD-LIBOR-6M,0.0040115000
2015-04-07,USD-LIBOR-6M,0.0039840000
2015-04-08,USD-LIBOR-6M,0.0039950000
2015-04-09,USD-LIBOR-6M,0.0040340000
2015-04-10,USD-LIBOR-6M,0.0040440000
2015-04-13,USD-LIBOR-6M,0.0040515000
2015-04-14,USD-LIBOR-6M,0.0040490000
2015-04-15,USD-LIBOR-6M,0.0040140000
2015-04-16,USD-LIBOR-6M,0.0040265000
2015-04-17,USD-LIBOR-6M,0.0040290000
2015-04-20,USD-LIBOR-6M,0.0040540000
2015-04-21,USD-LIBOR-6M,0.0040565000
2015-04-22,USD-LIBOR-6M,0.0040490000
2015-04-23,USD-LIBOR-6M,0.0040865000
2015-04-24,USD-LIBOR-6M,0.0040890000
2015-04-27,USD-LIBOR-6M,0.0040765000
2015-04-28,USD-LIBOR-6M,0.0040615000
2015-04-29,USD-LIBOR-6M,0.0040765000
2015-04-30,USD-LIBOR-6M,0.0040790000
2015-05-01,USD-LIBOR-6M,0.0041090000
2015-05-05,USD-LIBOR-6M,0.0041275000
2015-05-06,USD-LIBOR-6M,0.0041640000
2015-05-07,USD-LIBOR-6M,0.0041475000
2015-05-08,USD-LIBOR-6M,0.0041425000
2015-05-11,USD-LIBOR-6M,0.0041265000
2015-05-12,USD-LIBOR-6M,0.0041455000
2015-05-13,USD-LIBOR-6M,0.0041415000
2015-05-14,USD-LIBOR-6M,0.0041275000
2015-05-15,USD-LIBOR-6M,0.0041275000
